"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Matt Laredo",55,"Occidental College","defense","matt laredo","2","-","2","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"LB","5-11",NA,NA,NA,"Pacific Grove / Pacific Grove","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Ben Salzman",56,"Occidental College","defense","ben salzman","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"LB","5-11",NA,NA,NA,"Calabasas / Viewpoint School","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Dylan Marcoot",57,"Occidental College","defense","dylan marcoot","-","1","1","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Fr.",NA,"DL","6-1",NA,NA,NA,"Keenesburg, CO / Weld Central","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Grigoriy Gorshteyn",72,"Occidental College","defense","grigoriy gorshteyn","-","2","2","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Jr.",NA,"OL","6-4",NA,NA,NA,"Excelsior, MN / Blake School","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Ed Mills",78,"Occidental College","defense","ed mills","-","2","2","1.0/5","1.0","0.5/4","0.5","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"DL","6-3",NA,NA,NA,"Bellevue, WA / Bellevue","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Rory Baird",83,"Occidental College","defense","rory baird","2","1","3","1.5/1","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Jr.",NA,"DL","6-4",NA,NA,NA,"San Pasqual / San Pasqual","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Alex Curtis",91,"Occidental College","defense","alex curtis","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"TE","6-2",NA,NA,NA,"Portola Valley / Menlo School","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Daniel Andrew",95,"Occidental College","defense","daniel andrew","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"DL","5-11",NA,NA,NA,"Westport, CT / Staples","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Peter Schock",98,"Occidental College","defense","peter schock","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Rs.",NA,"DL","6-2",NA,NA,NA,"Wenatchee, WA / Phillips Academy","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Eric Yingling",99,"Occidental College","defense","eric yingling","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","1","home",7488,"So.",NA,"DL","6-0",NA,NA,NA,"Gages Lake, IL / Round Lake","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Aaron Stanton",NA,"Occidental College","defense","aaron stanton","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Adam Dibenedetto",NA,"Occidental College","defense","adam dibenedetto","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Alex Wertheimer",NA,"Occidental College","defense","alex wertheimer","3","2","5","1.5/6","1.5","0.5/2","0.5","-","0-1","1/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ayrton Bates",NA,"Occidental College","defense","ayrton bates","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Charles Sarosy",NA,"Occidental College","defense","charles sarosy","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Cory Suess",NA,"Occidental College","defense","cory suess","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7488,NA,NA,NA,NA,NA,NA,NA,NA,NA
